nodes,group_size,rep,mode,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path
1024,4,1,baseline,1,12,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r1.cm
1024,4,1,mcast,1,12,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r1.cm
1024,4,2,baseline,1,66,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r2.cm
1024,4,2,mcast,1,66,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r2.cm
1024,4,3,baseline,1,422,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r3.cm
1024,4,3,mcast,1,422,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r3.cm
1024,4,4,baseline,1,281,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r4.cm
1024,4,4,mcast,1,281,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r4.cm
1024,4,5,baseline,1,543,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r5.cm
1024,4,5,mcast,1,543,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r5.cm
1024,4,6,baseline,1,388,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r6.cm
1024,4,6,mcast,1,388,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r6.cm
1024,4,7,baseline,1,736,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r7.cm
1024,4,7,mcast,1,736,0,2048,3,0,3413,3413,bcast_sweep/bcast_n1024_g4_r7.cm
1024,4,8,baseline,1,415,0,2048,3,0,3751,3751,bcast_sweep/bcast_n1024_g4_r8.cm
